 Structure from AMSCIFDB, AMS_ID: 1523590       Feff8L (EXAFS)       0.1
 Mineral Name: <missing>
 Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
 Authors: Esch, U., Schneider, A.
 Title1:   Das System Nickel-Platin
 Formula:    Ni0.5Pt0.5
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
 Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
 Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
 Gam_ch=5.171E+00 H-L exch
 Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   30      icalc       2
 -----------------------------------------------------------------------
   4   5.000   5.3033    2.7455   -4.55377 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000    1.8750    1.8750  2  78 Pt
    -0.0000   -0.0000   -0.0000  0  78 Pt
    -0.0000    1.8750    1.8750  2  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  8.000  9.0365E+00  3.5955E-02 -3.1300E+01  9.962E-01  8.4721E+00  8.1552E+00
  8.500  8.8360E+00  2.8906E-02 -3.1151E+01  9.810E-01  9.1270E+00  8.6416E+00
  9.000  8.6398E+00  2.1987E-02 -3.0849E+01  9.687E-01  9.8024E+00  9.1301E+00
  9.500  8.4485E+00  1.7222E-02 -3.0369E+01  9.589E-01  1.0497E+01  9.6201E+00
 10.000  8.2622E+00  1.5854E-02 -2.9761E+01  9.510E-01  1.1209E+01  1.0111E+01
 11.000  7.9042E+00  2.4015E-02 -2.8779E+01  9.399E-01  1.2682E+01  1.1097E+01
 12.000  7.5674E+00  4.2704E-02 -2.8384E+01  9.333E-01  1.4215E+01  1.2086E+01
 13.000  7.2503E+00  6.4837E-02 -2.8350E+01  9.291E-01  1.5801E+01  1.3077E+01
 14.000  6.9516E+00  8.3212E-02 -2.8497E+01  9.269E-01  1.7436E+01  1.4070E+01
 15.000  6.6704E+00  9.2705E-02 -2.8741E+01  9.258E-01  1.9116E+01  1.5063E+01
 16.000  6.4055E+00  9.3380E-02 -2.9033E+01  9.251E-01  2.0838E+01  1.6058E+01
 17.000  6.1551E+00  8.7664E-02 -2.9373E+01  9.237E-01  2.2599E+01  1.7054E+01
 18.000  5.9173E+00  7.7126E-02 -2.9740E+01  9.222E-01  2.4396E+01  1.8050E+01
 19.000  5.6894E+00  6.6183E-02 -3.0108E+01  9.214E-01  2.6228E+01  1.9047E+01
 20.000  5.4723E+00  5.7531E-02 -3.0501E+01  9.213E-01  2.8091E+01  2.0044E+01
