# Structure from AMSCIFDB, AMS_ID: 1523590     Feff8L (EXAFS)       0.1      
# Mineral Name: <missing>
# Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
# Authors: Esch, U., Schneider, A.
# Title1:   Das System Nickel-Platin
# Formula:    Ni0.5Pt0.5
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
# Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
# Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
# Gam_ch=5.171E+00 H-L exch
# Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.6517
#           2       0.00000     68.27      5.00     2   2.6517
#           3       0.00000     24.34      4.00     2   3.7500
#           4       0.00000     14.16      2.00     2   3.7500
#           5       0.00000      4.39     14.00     3   3.9775
#           6       0.00000      9.21     28.00     3   3.9775
#           8       0.00000     37.95     11.00     2   4.5928
#           9       0.00000     55.09     13.00     2   4.5928
#          11       0.00000      7.81     28.00     3   4.9480
#          12       0.00000      4.87     24.00     3   4.9480
#          13       0.00000      6.42     32.00     3   4.9480
#          14       0.00000     10.82     20.00     3   4.9480
#          15       0.00000     14.06     20.00     3   4.9480
#          16       0.00000     13.33      6.00     2   5.3033
#          17       0.00000     16.97      6.00     2   5.3033
#          19       0.00000      5.02      6.00     3   5.3033
#          21       0.00000     31.86     10.00     3   5.3033
#          22       0.00000     14.45      4.00     3   5.3033
#          23       0.00000     10.67      2.00     3   5.3033
#          24       0.00000     49.15      8.00     3   5.3033
#          25       0.00000      8.91      4.00     4   5.3033
#          26       0.00000     10.46      6.00     4   5.3033
#          27       0.00000      4.76      2.00     4   5.3033
#          30       0.00000     26.65      5.00     4   5.3033
#          31       0.00000     11.29      2.00     4   5.3033
#          33       0.00000     13.32      1.00     4   5.3033
#          34       0.00000     54.25      4.00     4   5.3033
#          35       0.00000     17.05     11.00     2   5.9293
#          36       0.00000     26.39     13.00     2   5.9293
#          40       0.00000      4.21     10.00     3   6.1655
#          42       0.00000      5.81     12.00     3   6.1655
#          45       0.00000      7.65      5.00     2   6.4952
#    32/  41 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    11.1500    1.934397E-02  6.386951E-02  4.681619E+01
    11.2000   -2.208908E-03  6.679616E-02  4.715697E+01
    11.2500   -2.553679E-02  6.891303E-02  4.750351E+01
    11.3000   -4.680182E-02  7.011584E-02  4.785473E+01
    11.3500   -6.221442E-02  7.032586E-02  4.820965E+01
    11.4000   -6.893056E-02  6.949285E-02  4.856739E+01
    11.4500   -6.578003E-02  6.759699E-02  4.892707E+01
    11.5000   -5.360882E-02  6.465005E-02  4.928778E+01
    11.5500   -3.511678E-02  6.069543E-02  4.964850E+01
    11.6000   -1.421276E-02  5.580753E-02  5.000797E+01
    11.6500    4.949025E-03  5.009039E-02  5.036445E+01
    11.7000    1.898986E-02  4.367636E-02  5.071528E+01
    11.7500    2.610139E-02  3.672597E-02  5.105598E+01
    11.8000    2.639421E-02  2.943278E-02  5.137788E+01
    11.8500    2.171022E-02  2.204606E-02  5.166151E+01
    11.9000    1.496591E-02  1.496823E-02  5.185387E+01
    11.9500    9.230461E-03  9.241998E-03  5.178631E+01
    12.0000    6.815293E-03  8.019165E-03  5.128123E+01
    12.0500    8.651606E-03  1.208504E-02  5.106339E+01
    12.1000    1.409177E-02  1.755048E-02  5.119767E+01
    12.1500    2.121964E-02  2.286049E-02  5.145509E+01
    12.2000    2.748632E-02  2.756718E-02  5.175967E+01
    12.2500    3.051238E-02  3.148146E-02  5.208504E+01
    12.3000    2.879682E-02  3.450671E-02  5.241980E+01
    12.3500    2.212643E-02  3.659939E-02  5.275787E+01
    12.4000    1.158251E-02  3.775743E-02  5.309529E+01
    12.4500   -8.301773E-04  3.801635E-02  5.342891E+01
    12.5000   -1.279367E-02  3.744814E-02  5.375573E+01
    12.5500   -2.232445E-02  3.616159E-02  5.407245E+01
    12.6000   -2.825999E-02  3.430398E-02  5.437518E+01
    12.6500   -3.045063E-02  3.206415E-02  5.465928E+01
    12.7000   -2.962554E-02  2.967596E-02  5.491957E+01
    12.7500   -2.700656E-02  2.741792E-02  5.515131E+01
    12.8000   -2.381769E-02  2.559680E-02  5.535291E+01
    12.8500   -2.085974E-02  2.449665E-02  5.552976E+01
    12.9000   -1.828607E-02  2.428973E-02  5.569631E+01
    12.9500   -1.563952E-02  2.495901E-02  5.587147E+01
    13.0000   -1.212134E-02  2.630625E-02  5.606980E+01
    13.0500   -7.017793E-03  2.802236E-02  5.629554E+01
    13.1000   -2.373929E-05  2.983600E-02  5.654787E+01
    13.1500    8.513648E-03  3.150671E-02  5.682229E+01
    13.2000    1.758935E-02  3.284898E-02  5.711372E+01
    13.2500    2.575668E-02  3.372782E-02  5.741764E+01
    13.3000    3.150352E-02  3.405075E-02  5.773021E+01
    13.3500    3.367498E-02  3.376062E-02  5.804822E+01
    13.4000    3.181545E-02  3.283031E-02  5.836875E+01
    13.4500    2.632694E-02  3.125910E-02  5.868888E+01
    13.5000    1.839439E-02  2.907099E-02  5.900517E+01
    13.5500    9.694545E-03  2.631533E-02  5.931297E+01
    13.6000    1.966077E-03  2.307216E-02  5.960494E+01
    13.6500   -3.443049E-03  1.946810E-02  5.986805E+01
    13.7000   -5.927549E-03  1.572114E-02  6.007686E+01
    13.7500   -5.778701E-03  1.226633E-02  6.018080E+01
    13.8000   -4.094027E-03  1.003319E-02  6.011058E+01
    13.8500   -2.460751E-03  1.032517E-02  5.993090E+01
    13.9000   -2.491322E-03  1.317327E-02  5.988053E+01
    13.9500   -5.330918E-03  1.739483E-02  6.000174E+01
    14.0000   -1.126874E-02  2.214859E-02  6.022403E+01
    14.0500   -1.961344E-02  2.703665E-02  6.050193E+01
    14.1000   -2.858880E-02  3.178136E-02  6.080899E+01
    14.1500   -3.593701E-02  3.623171E-02  6.113343E+01
    14.2000   -3.940617E-02  4.027274E-02  6.146888E+01
    14.2500   -3.733770E-02  4.381187E-02  6.181162E+01
    14.3000   -2.913972E-02  4.677408E-02  6.215930E+01
    14.3500   -1.551863E-02  4.910055E-02  6.251028E+01
    14.4000    1.600211E-03  5.074870E-02  6.286339E+01
    14.4500    1.945281E-02  5.169272E-02  6.321767E+01
    14.5000    3.502874E-02  5.192416E-02  6.357229E+01
    14.5500    4.572878E-02  5.145235E-02  6.392649E+01
    14.6000    4.992320E-02  5.030441E-02  6.427946E+01
    14.6500    4.727206E-02  4.852493E-02  6.463038E+01
    14.7000    3.873334E-02  4.617507E-02  6.497830E+01
    14.7500    2.626901E-02  4.333112E-02  6.532212E+01
    14.8000    1.233935E-02  4.008263E-02  6.566052E+01
    14.8500   -6.722091E-04  3.652990E-02  6.599185E+01
    14.9000   -1.095150E-02  3.278108E-02  6.631407E+01
    14.9500   -1.754574E-02  2.894877E-02  6.662459E+01
    15.0000   -2.040444E-02  2.514630E-02  6.692004E+01
    15.0500   -2.012069E-02  2.142059E-02  6.719408E+01
    15.1000   -1.786468E-02  1.796003E-02  6.744116E+01
    15.1500   -1.478036E-02  1.486868E-02  6.765329E+01
    15.2000   -1.177300E-02  1.223897E-02  6.782107E+01
    15.2500   -9.383026E-03  1.014903E-02  6.793525E+01
    15.3000   -7.809014E-03  8.660148E-03  6.799131E+01
