PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      210     0.00000     2.725     4.000     3   6.3105
      211     0.00000     5.012     4.000     3   6.3105
      212     0.00000     4.159     2.000     4   6.3160
      213     0.00000     5.636     2.000     2   6.3177
      214     0.00000    11.695     4.000     3   6.3177
      215     0.00000     7.433     2.000     4   6.3177
      217     0.00000     4.217     4.000     4   6.3518
      218     0.00000     3.512     4.000     4   6.3518
      219     0.00000     3.799     4.000     3   6.3917
      220     0.00000     3.017     4.000     4   6.3980
      222     0.00000     4.500     2.000     2   6.4009
      223     0.00000     4.656     4.000     3   6.4006
      224     0.00000     4.654     4.000     3   6.4018
      227     0.00000     3.216     4.000     3   6.4295
      228     0.00000     6.706     4.000     3   6.4381
      229     0.00000     4.416     2.000     2   6.4410
      231     0.00000     2.700     8.000     3   6.4945
      234     0.00000     4.244     2.000     2   6.5257
      235     0.00000     3.147     4.000     4   6.5565
      236     0.00000     3.146     4.000     4   6.5576
      237     0.00000     4.160     2.000     2   6.5684
      240     0.00000     3.484     4.000     3   6.5819
      241     0.00000     5.734     4.000     3   6.5819
      242     0.00000     5.768     4.000     3   6.6146
      243     0.00000     3.270     4.000     4   6.6146
      244     0.00000     5.472     4.000     4   6.6146
      245     0.00000     3.959     4.000     4   6.6281
      246     0.00000     4.390     4.000     5   6.6281
      247     0.00000     3.466     4.000     3   6.6344
      248     0.00000     4.005     4.000     5   6.6608
      249     0.00000     3.958     4.000     3   6.6679
      250     0.00000     3.046     4.000     3   6.6734
      251     0.00000     3.009     4.000     3   6.6774
      252     0.00000     3.923     2.000     2   6.6957
      253     0.00000     3.915     2.000     2   6.6999
      254     0.00000     3.780     2.000     2   6.7770
      255     0.00000     3.771     2.000     2   6.7819
      256     0.00000     4.513     2.000     2   6.8200
      257     0.00000     8.789     4.000     3   6.8200
      258     0.00000     5.262     2.000     4   6.8200
      259     0.00000     3.946     4.000     3   6.8263
      260     0.00000     3.640     2.000     2   6.8606
      262     0.00000     4.306     4.000     3   6.8687
      263     0.00000     3.376     4.000     3   6.8778
      264     0.00000     3.583     2.000     2   6.8958
      266     0.00000     3.054     4.000     3   6.9301
      267     0.00000     2.955     4.000     4   6.9413
      268     0.00000     2.699     4.000     3   6.9951
