 Structure from AMSCIFDB, AMS_ID: 1011103       Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal:  Zeitschrift fuer Physikalische Chemie (Frankfurt Am Main) 126, pp. 41
 Authors: Bredig, G, Allolio, R
 Title1:  Roentgenuntersuchungen an katalytisch wirkenden Metallen
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.471 Rnm= 1.507 L3 shell
 Pot 1 Z=78 Rmt= 1.485 Rnm= 1.523
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.725E-01 kf=2.020E+00 Vint=-1.582E+01 Rs_int= 1.795
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2  12.000   2.7888    2.8779   -0.27245 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.9720   -0.0000    1.9720  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  5.000  1.0330E+01  2.2589E-01 -1.8297E+01  1.150E+00  5.1724E+00  5.3014E+00
  5.200  1.0251E+01  2.0309E-01 -1.8602E+01  1.137E+00  5.3574E+00  5.4832E+00
  5.400  1.0171E+01  1.9196E-01 -1.8947E+01  1.125E+00  5.5509E+00  5.6666E+00
  5.600  1.0091E+01  1.9703E-01 -1.9284E+01  1.113E+00  5.7521E+00  5.8516E+00
  5.800  1.0010E+01  2.1483E-01 -1.9573E+01  1.101E+00  5.9602E+00  6.0379E+00
  6.000  9.9288E+00  2.3997E-01 -1.9802E+01  1.091E+00  6.1748E+00  6.2254E+00
  6.500  9.7262E+00  3.0455E-01 -2.0155E+01  1.064E+00  6.7364E+00  6.6985E+00
  7.000  9.5219E+00  3.4404E-01 -2.0336E+01  1.037E+00  7.3298E+00  7.1766E+00
  7.500  9.3153E+00  3.5618E-01 -2.0430E+01  1.014E+00  7.9510E+00  7.6586E+00
  8.000  9.1087E+00  3.4763E-01 -2.0467E+01  9.948E-01  8.5969E+00  8.1436E+00
  8.500  8.9053E+00  3.2654E-01 -2.0445E+01  9.800E-01  9.2651E+00  8.6309E+00
  9.000  8.7063E+00  3.0262E-01 -2.0359E+01  9.680E-01  9.9538E+00  9.1201E+00
  9.500  8.5117E+00  2.8707E-01 -2.0220E+01  9.580E-01  1.0662E+01  9.6108E+00
 10.000  8.3220E+00  2.8631E-01 -2.0060E+01  9.499E-01  1.1387E+01  1.0103E+01
 11.000  7.9597E+00  3.2593E-01 -1.9803E+01  9.391E-01  1.2886E+01  1.1089E+01
 12.000  7.6188E+00  3.9177E-01 -1.9696E+01  9.326E-01  1.4445E+01  1.2079E+01
 13.000  7.2979E+00  4.5031E-01 -1.9704E+01  9.283E-01  1.6057E+01  1.3071E+01
 14.000  6.9966E+00  4.9177E-01 -1.9767E+01  9.264E-01  1.7719E+01  1.4064E+01
 15.000  6.7124E+00  5.1278E-01 -1.9861E+01  9.251E-01  1.9425E+01  1.5058E+01
 16.000  6.4453E+00  5.1892E-01 -1.9974E+01  9.246E-01  2.1173E+01  1.6053E+01
 17.000  6.1926E+00  5.1046E-01 -2.0107E+01  9.231E-01  2.2959E+01  1.7049E+01
 18.000  5.9530E+00  4.9100E-01 -2.0252E+01  9.217E-01  2.4782E+01  1.8046E+01
 19.000  5.7234E+00  4.6266E-01 -2.0404E+01  9.209E-01  2.6638E+01  1.9042E+01
 20.000  5.5048E+00  4.2893E-01 -2.0559E+01  9.208E-01  2.8527E+01  2.0040E+01
